filter,dropout_rate,learning_rate,optimizer,val_accuracy,epochs
8,0.4,0.001,adam,0.5,3
8,0.4,0.001,sgd,0.7275000214576721,29
8,0.4,0.0001,adam,0.8324999809265137,29
8,0.4,0.0001,sgd,0.6875,29
8,0.4,1e-05,adam,0.7275000214576721,29
8,0.4,1e-05,sgd,0.5450000166893005,14
8,0.3,0.001,adam,0.8324999809265137,29
8,0.3,0.001,sgd,0.737500011920929,29
8,0.3,0.0001,adam,0.8424999713897705,29
8,0.3,0.0001,sgd,0.5874999761581421,29
8,0.3,1e-05,adam,0.7225000262260437,29
8,0.3,1e-05,sgd,0.4000000059604645,10
8,0.2,0.001,adam,0.7925000190734863,29
8,0.2,0.001,sgd,0.5525000095367432,3
8,0.2,0.0001,adam,0.8450000286102295,29
8,0.2,0.0001,sgd,0.5874999761581421,22
8,0.2,1e-05,adam,0.7325000166893005,29
8,0.2,1e-05,sgd,0.4424999952316284,3
32,0.4,0.001,adam,0.7875000238418579,29
32,0.4,0.001,sgd,0.7975000143051147,29
32,0.4,0.0001,adam,0.8725000023841858,29
32,0.4,0.0001,sgd,0.6424999833106995,29
32,0.4,1e-05,adam,0.8025000095367432,29
32,0.4,1e-05,sgd,0.5274999737739563,29
32,0.3,0.001,adam,0.5,3
32,0.3,0.001,sgd,0.8324999809265137,29
32,0.3,0.0001,adam,0.824999988079071,29
32,0.3,0.0001,sgd,0.6349999904632568,29
32,0.3,1e-05,adam,0.8274999856948853,29
32,0.3,1e-05,sgd,0.6324999928474426,29
32,0.2,0.001,adam,0.8174999952316284,18
32,0.2,0.001,sgd,0.800000011920929,29
32,0.2,0.0001,adam,0.8799999952316284,29
32,0.2,0.0001,sgd,0.7425000071525574,29
32,0.2,1e-05,adam,0.8500000238418579,29
32,0.2,1e-05,sgd,0.4950000047683716,8
64,0.4,0.001,adam,0.762499988079071,16
64,0.4,0.001,sgd,0.8174999952316284,29
64,0.4,0.0001,adam,0.8500000238418579,18
64,0.4,0.0001,sgd,0.7149999737739563,29
64,0.4,1e-05,adam,0.8324999809265137,29
64,0.4,1e-05,sgd,0.6274999976158142,29
64,0.3,0.001,adam,0.6600000262260437,3
64,0.3,0.001,sgd,0.8224999904632568,29
64,0.3,0.0001,adam,0.8849999904632568,29
64,0.3,0.0001,sgd,0.75,29
64,0.3,1e-05,adam,0.8550000190734863,29
64,0.3,1e-05,sgd,0.637499988079071,29
64,0.2,0.001,adam,0.8450000286102295,25
64,0.2,0.001,sgd,0.824999988079071,29
64,0.2,0.0001,adam,0.9049999713897705,29
64,0.2,0.0001,sgd,0.7275000214576721,29
64,0.2,1e-05,adam,0.8675000071525574,29
64,0.2,1e-05,sgd,0.625,29
