batch_size,learning_rate,dropout_rate,val_accuracy,epochs
32,0.01,0.3,0.7475000023841858,16
32,0.001,0.3,0.7900000214576721,26
32,0.0001,0.3,0.7599999904632568,29
32,0.01,0.4,0.7574999928474426,21
32,0.001,0.4,0.7850000262260437,26
32,0.0001,0.4,0.7674999833106995,29
32,0.01,0.5,0.7574999928474426,24
32,0.001,0.5,0.7975000143051147,18
32,0.0001,0.5,0.7400000095367432,18
64,0.01,0.3,0.7900000214576721,25
64,0.001,0.3,0.7900000214576721,29
64,0.0001,0.3,0.7549999952316284,29
64,0.01,0.4,0.7475000023841858,19
64,0.001,0.4,0.7875000238418579,18
64,0.0001,0.4,0.7649999856948853,29
64,0.01,0.5,0.7425000071525574,19
64,0.001,0.5,0.7875000238418579,29
64,0.0001,0.5,0.7749999761581421,29
128,0.01,0.3,0.7825000286102295,18
128,0.001,0.3,0.7850000262260437,23
128,0.0001,0.3,0.7350000143051147,14
128,0.01,0.4,0.7425000071525574,26
128,0.001,0.4,0.7875000238418579,25
128,0.0001,0.4,0.7475000023841858,29
128,0.01,0.5,0.7674999833106995,26
128,0.001,0.5,0.7850000262260437,28
128,0.0001,0.5,0.7074999809265137,14
